Client, 
Well, 
DST No., 
Serial No., 1008
Depth, 
Position, Above Ball

Date Time, Pressure, Temperature
DD/MM/YYYY HH:MM:SS, kPa, degF
30/06/2014 09:14:16, 34533.23, 212.00
30/06/2014 09:14:18, 34533.23, 212.00
30/06/2014 09:14:20, 34533.23, 212.00
30/06/2014 09:14:24, 34533.23, 212.00
30/06/2014 09:14:28, 34533.23, 212.00
30/06/2014 09:14:30, 34533.23, 212.00
30/06/2014 09:14:32, 34533.23, 212.00
30/06/2014 09:14:36, 34533.23, 212.00
30/06/2014 09:14:40, 34533.23, 212.00
30/06/2014 09:14:42, 34533.23, 212.00
30/06/2014 09:14:44, 34533.23, 212.00
30/06/2014 09:14:48, 34533.23, 212.00
30/06/2014 09:14:52, 34533.23, 212.00
30/06/2014 09:14:54, 34533.23, 212.00
30/06/2014 09:14:56, 34533.23, 212.00
30/06/2014 09:15:00, 34533.23, 212.00
30/06/2014 09:15:04, 34533.23, 212.00
30/06/2014 09:15:06, 34533.23, 212.00
30/06/2014 09:15:08, 34533.23, 212.00
30/06/2014 09:15:12, 34533.23, 212.00
30/06/2014 09:15:16, 34533.23, 212.00
30/06/2014 09:15:18, 34533.23, 212.00
30/06/2014 09:15:20, 34533.23, 212.00
30/06/2014 09:15:24, 34533.23, 212.00
30/06/2014 09:15:28, 34533.23, 212.00
30/06/2014 09:15:30, 34533.23, 212.00
30/06/2014 09:15:36, 34533.23, 212.00
30/06/2014 09:15:40, 34533.23, 212.00
30/06/2014 09:15:42, 34533.23, 212.00
30/06/2014 09:15:44, 34533.23, 212.00
30/06/2014 09:15:48, 34533.23, 212.00
30/06/2014 09:15:52, 34533.23, 212.00
30/06/2014 09:15:54, 34533.23, 212.00
30/06/2014 09:15:56, 34533.23, 212.00
30/06/2014 09:16:00, 34533.23, 212.00
30/06/2014 09:16:04, 34533.23, 212.00
30/06/2014 09:16:06, 34533.23, 212.00
30/06/2014 09:16:08, 34533.23, 212.00
30/06/2014 09:16:12, 34533.23, 212.00
30/06/2014 09:16:16, 34533.23, 212.00
30/06/2014 09:16:18, 34533.23, 212.00
30/06/2014 09:16:20, 34533.23, 212.00
30/06/2014 09:16:24, 34533.23, 212.00
30/06/2014 09:16:28, 34533.23, 212.00
30/06/2014 09:16:30, 34533.23, 212.00
30/06/2014 09:16:32, 34533.23, 212.00
30/06/2014 09:16:36, 34533.23, 212.00
30/06/2014 09:16:42, 34533.23, 212.00
30/06/2014 09:16:48, 34533.23, 212.00
30/06/2014 09:16:54, 34533.23, 212.00
30/06/2014 09:17:06, 34533.23, 212.00
30/06/2014 09:17:12, 34533.23, 212.00
30/06/2014 09:17:18, 34533.23, 212.00
30/06/2014 09:17:30, 34533.23, 212.00
30/06/2014 09:17:36, 34533.23, 212.00
30/06/2014 09:17:42, 34533.23, 212.00
30/06/2014 09:17:48, 34533.23, 212.00
30/06/2014 09:17:54, 34533.23, 212.00
30/06/2014 09:18:00, 34533.23, 212.00
30/06/2014 09:18:06, 34533.23, 212.00
30/06/2014 09:18:12, 34533.23, 212.00
30/06/2014 09:18:18, 34533.23, 212.00
30/06/2014 09:18:24, 34533.23, 212.00
30/06/2014 09:18:30, 34533.23, 212.00
30/06/2014 09:18:36, 34533.23, 212.00
30/06/2014 09:18:42, 34533.23, 212.00
30/06/2014 09:18:48, 34533.23, 212.00
30/06/2014 09:18:54, 34533.23, 212.00
30/06/2014 09:19:00, 34533.23, 212.00
30/06/2014 09:19:06, 34533.23, 212.00
30/06/2014 09:19:12, 34533.23, 212.00
30/06/2014 09:19:18, 34533.23, 212.00
30/06/2014 09:19:24, 34533.23, 212.00
30/06/2014 09:19:30, 34533.23, 212.00
30/06/2014 09:19:42, 34533.23, 212.00
30/06/2014 09:19:48, 34533.23, 212.00
30/06/2014 09:19:54, 34533.23, 212.00
